Packet Counter,Sample Time,Sensor Type,Size of Sensor,AX data,AY data,AZ data,GX data,GY data,GZ data,Checksum data,Pattern
0,5696,8040,0C,,,,-0.0016044,0.0026544,0.0052108,0E,FAFF361B10200200001060040000164080400CBAD24C003B2DF6003BAABF000E
1,5703,4040,0C,-0.0753517,-0.0941782,9.7054787,,,,51,FAFF361B10200200011060040000164740400CBDC0E080BD9A5200411B49A451
2,5706,8040,0C,,,,-0.0016265,0.0015898,0.0062699,37,FAFF361B10200200021060040000164A80400CBAD530003AD060003BCD740037
3,5713,4040,0C,-0.0752850,-0.1039419,9.7197380,,,,B2,FAFF361B10200200031060040000165140400CBDD4DF80BD9A2F00411B840CB2
4,5715,8040,0C,,,,-0.0016265,0.0015898,0.0062699,2C,FAFF361B10200200041060040000165380400CBAD530003AD060003BCD74002C
5,5722,4040,0C,-0.0751772,-0.1183758,9.7243547,,,,38,FAFF361B10200200051060040000165A40400CBDF26F00BD99F680411B96F538
6,5725,8040,0C,,,,-0.0026896,0.0015953,0.0062566,67,FAFF361B10200200061060040000165D80400CBB3044003AD118003BCD040067
7,5732,4040,0C,-0.0751448,-0.1232872,9.7338810,,,,F8,FAFF361B10200200071060040000166440400CBDFC7E00BD99E580411BBDFAF8
8,5735,8040,0C,,,,-0.0037307,0.0026654,0.0051841,32,FAFF361B10200200081060040000166780400CBB747E003B2EAE003BA9DF0032
9,5742,4040,0C,-0.0752230,-0.1138277,9.7435837,,,,CF,FAFF361B10200200091060040000166E40400CBDE91E80BD9A0E80411BE5B8CF
10,5745,8040,0C,,,,-0.0026675,0.0026599,0.0051974,03,FAFF361B102002000A1060040000167180400CBB2ED2003B2E52003BAA4F0003
11,5752,4040,0C,-0.0705156,-0.1042080,9.7436981,,,,3F,FAFF361B102002000B1060040000167840400CBDD56B00BD906A80411BE6303F
12,5755,8040,0C,,,,-0.0037329,0.0037310,0.0062422,09,FAFF361B102002000C1060040000167B80400CBB74A4003B7484003BCC8B0009
14,5765,8040,0C,,,,-0.0037451,0.0037315,0.0073006,56,FAFF361B102002000E1060040000168580400CBB7570003B748C003BEF3A0056
15,5772,4040,0C,-0.0800829,-0.1044054,9.7532902,,,,22,FAFF361B102002000F1060040000168C40400CBDD5D280BDA40280411C0D7A22
16,5775,8040,0C,,,,-0.0026820,0.0037260,0.0073140,28,FAFF361B10200200101060040000168F80400CBB2FC4003B7430003BEFAA0028
17,5782,4040,0C,-0.0849838,-0.0903149,9.7726421,,,,67,FAFF361B10200200111060040000169640400CBDB8F700BDAE0C00411C5CBE67
18,5784,8040,0C,,,,-0.0026797,0.0026604,0.0062560,2D,FAFF361B10200200121060040000169880400CBB2F9E003B2E5A003BCCFF002D
19,5791,4040,0C,-0.0897379,-0.0953865,9.7917566,,,,0F,FAFF361B10200200131060040000169F40400CBDC35A00BDB7C880411CAB090F
20,5794,8040,0C,,,,-0.0026797,0.0026604,0.0062560,21,FAFF361B1020020014106004000016A280400CBB2F9E003B2E5A003BCCFF0021
21,5801,4040,0C,-0.0895967,-0.1147318,9.8058987,,,,E2,FAFF361B1020020015106004000016A940400CBDEAF880BDB77E80411CE4F6E2
22,5804,8040,0C,,,,-0.0026896,0.0015953,0.0062566,08,FAFF361B1020020016106004000016AC80400CBB3044003AD118003BCD040008
23,5811,4040,0C,-0.0894918,-0.1292257,9.8153076,,,,A5,FAFF361B1020020017106004000016B340400CBE0453C0BDB74780411D0B80A5
24,5814,8040,0C,,,,-0.0026995,0.0005301,0.0062572,38,FAFF361B1020020018106004000016B680400CBB30EA003A0AF8003BCD090038
25,5821,4040,0C,-0.0752277,-0.1196527,9.8249998,,,,28,FAFF361B1020020019106004000016BD40400CBDF50C80BD9A1100411D333328
26,5824,8040,0C,,,,-0.0026896,0.0015953,0.0062566,F0,FAFF361B102002001A106004000016C080400CBB3044003AD118003BCD0400F0
27,5831,4040,0C,-0.0753450,-0.1054621,9.8395548,,,,B4,FAFF361B102002001B106004000016C740400CBDD7FC80BD9A4E80411D6ED1B4
28,5834,8040,0C,,,,-0.0037405,0.0016003,0.0051847,5B,FAFF361B102002001C106004000016CA80400CBB7524003AD1C0003BA9E4005B
29,5841,4040,0C,-0.0945406,-0.0959721,9.8348942,,,,5D,FAFF361B102002001D106004000016D140400CBDC48D00BDC19E80411D5BBA5D
30,5844,8040,0C,,,,-0.0026675,0.0026599,0.0051974,8C,FAFF361B102002001E106004000016D480400CBB2ED2003B2E52003BAA4F008C
31,5851,4040,0C,-0.0945702,-0.0909986,9.8205757,,,,5B,FAFF361B102002001F106004000016DB40400CBDBA5D80BDC1AE00411D21145B
32,5854,8040,0C,,,,-0.0015945,0.0037196,0.0052103,8D,FAFF361B1020020020106004000016DE80400CBAD100003B73C4003BAABB008D
33,5861,4040,0C,-0.0754414,-0.0907259,9.8109760,,,,AE,FAFF361B1020020021106004000016E540400CBDB9CE80BD9A8100411CF9C2AE
34,5863,8040,0C,,,,-0.0026675,0.0026599,0.0051974,75,FAFF361B1020020022106004000016E780400CBB2ED2003B2E52003BAA4F0075
36,5873,8040,0C,,,,-0.0026675,0.0026599,0.0051974,69,FAFF361B1020020024106004000016F180400CBB2ED2003B2E52003BAA4F0069
37,5880,4040,0C,-0.0802021,-0.0959797,9.8444691,,,,C5,FAFF361B1020020025106004000016F840400CBDC49100BDA44100411D82F2C5
38,5883,8040,0C,,,,-0.0016143,0.0015893,0.0052114,DF,FAFF361B1020020026106004000016FB80400CBAD398003AD050003BAAC400DF
39,5890,4040,0C,-0.0897741,-0.0962982,9.8636465,,,,07,FAFF361B10200200271060040000170240400CBDC53800BDB7DB80411DD17F07
